Team, Num Gates Passed, Lap Time (s), Num Gates Missed, Num Gates Attempted, Max Speed (m/s), Avg Speed (m/s) 
Dedale,21,39.78,0,21 / 21,24.02,12.88
Chuchichäschtli,21,57.45,0,21 / 21,18.72,9.00
Anon,21,60.41,0,21 / 21,25.13,8.94
QuetzalC++,21,72.74,0,21 / 21,24.52,7.14
JBR,21,81.40,0,21 / 21,30.22,6.30
Team Orions Systems,21,83.99,0,21 / 21,24.87,6.19
