Team, Num Gates Passed, Lap Time (s), Num Gates Missed, Num Gates Attempted, Max Speed (m/s), Avg Speed (m/s) 
Dedale,20,30.11,0,20 / 20,16.49,11.33
Chuchichäschtli,20,37.58,0,20 / 20,18.96,9.11
QuetzalC++,20,42.01,0,20 / 20,17.20,8.13
Anon,20,45.66,0,20 / 20,14.60,7.55
The Aerial Panthers,20,52.77,0,20 / 20,12.04,6.62
JBR,20,65.53,0,20 / 20,11.57,5.31
Orions Systems,20,67.49,0,20 / 20,9.68,5.08
NCTU_REM,20,70.76,0,20 / 20,10.33,4.96
Soren,20,83.91,0,20 / 20,9.96,4.05
HumDrum,20,89.44,0,20 / 20,5.82,3.79
MF,20,121.56,0,20 / 20,6.23,3.07
