Team, Num Gates Passed, Lap Time (s), Num Gates Missed, Num Gates Attempted, Max Speed (m/s), Avg Speed (m/s) 
USRG,14,58.59,0,14 / 14,18.95,4.75
Sangyun,14,70.62,0,14 / 14,17.79,4.08
Spleenlab,14,76.28,0,14 / 14,18.77,4.31
Soren,13,59.13,1,14 / 14,12.99,4.85
Kukks,7,208.45,7,14 / 14,13.06,3.94
NCTU_REM,2,0.00,9,11 / 14,10.84,1.77
