Team, Num Gates Passed, Lap Time (s), Num Gates Missed, Num Gates Attempted, Max Speed (m/s), Avg Speed (m/s) 
𝐒𝐚𝐧𝐠𝐲𝐮𝐧,22,71.26,0,22 / 22,34.44,12.72
𝐔𝐒𝐑𝐆,22,110.73,0,22 / 22,22.88,7.83
𝐃𝐞́𝐝𝐚𝐥𝐞,12,300.05,8,20 / 22,12.00,2.62
