Team, Num Gates Passed, Lap Time (s), Num Gates Missed, Num Gates Attempted, Max Speed (m/s), Avg Speed (m/s) 
𝐒𝐚𝐧𝐠𝐲𝐮𝐧,21,56.88,0,21 / 21,19.30,9.76
𝐔𝐒𝐑𝐆,21,81.19,0,21 / 21,17.46,7.11
𝐒𝐩𝐥𝐞𝐞𝐧𝐥𝐚𝐛,21,83.08,0,21 / 21,15.15,7.10
Dédale,13,252.02,8,21 / 21,8.14,2.36
